Time,Abundance
47.1323,83.08156
47.14243,86.4626
47.15257,95.66019
47.1627,108.4503
47.17283,137.2169
47.18297,170.1689
47.1931,231.8216
47.20323,299.6277
47.21337,367.3077
47.22352,440.8428
47.23365,474.0426
47.24378,471.5077
47.25392,454.1879
47.26405,415.1479
47.27418,360.1894
47.28432,315.8613
47.29445,263.0793
47.30458,209.7103
47.31472,182.5639
47.32485,164.3719
47.33498,143.8067
47.34512,134.0357
47.35525,126.7582
47.36538,132.0064
47.37552,129.3289
47.38565,131.8552
47.39578,133.8948
47.40592,140.909
47.41605,140.8656
47.42618,159.8398
47.43633,164.5397
47.44647,160.6459
47.4566,154.1089
47.46673,151.2677
47.47687,129.9601
47.487,123.0192
47.49713,108.0542
47.50727,108.0719
47.5174,102.446
47.52753,96.99387
47.53767,102.0458
47.5478,97.81126
47.55793,96.43681
47.56807,100.9108
47.5782,100.7299
47.58833,96.7946
47.59847,100.4574
47.6086,94.49699
47.61873,98.89786
47.62887,99.19316
47.63902,109.9849
47.64915,120.5205
47.65928,130.6548
47.66942,144.3178
47.67955,151.7889
47.68968,155.3397
47.69982,163.334
47.70995,158.9496
47.72008,154.011
47.73022,144.4156
47.74035,131.1053
47.75048,120.2725
47.76062,114.9735
47.77075,109.521
47.78088,106.0554
47.79102,109.8863
47.80115,103.1694
47.81128,102.0486
47.82142,99.92126
47.83155,100.3592
47.84168,99.07249
47.85183,98.54871
47.86197,98.32394
47.8721,95.02144
47.88223,95.1693
47.89237,91.57406
47.9025,88.62547
47.91263,97.86378
47.92277,87.57623
47.9329,96.34421
47.94303,88.7925
47.95317,97.58369
47.9633,98.68105
47.97343,96.13825
47.98357,103.8019
47.9937,92.95307
48.00383,100.7033
48.01397,96.30022
48.0241,94.5126
48.03423,95.52061
48.04437,98.46827
48.0545,103.6903
48.06465,97.927
48.07478,109.5244
48.08492,108.9236
48.09505,122.211
48.10518,141.1559
48.11532,170.9221
48.12545,214.764
48.13558,270.7555
48.14572,350.7475
48.15585,417.4627
48.16598,468.6232
48.17612,483.6777
48.18625,461.2036
48.19638,409.7445
48.20652,363.2495
48.21665,280.7198
48.22678,215.363
48.23692,172.5157
48.24705,134.8875
48.25718,115.5443
48.26732,107.9534
48.27747,95.74723
48.2876,98.67471
48.29773,93.96404
48.30787,95.74544
48.318,92.76787
48.32813,101.0972
48.33827,98.15969
48.3484,99.75946
48.35853,98.00989
48.36867,96.92557
48.3788,100.0835
48.38893,100.2259
48.39907,107.2083
48.4092,102.5718
48.41933,105.2367
48.42947,106.6374
48.4396,104.931
48.44973,110.3831
48.45987,115.2939
48.47,120.2064
48.48013,121.8808
48.49028,127.8992
48.50042,125.7679
48.51055,126.1023
48.52068,120.7329
48.53082,115.0745
48.54095,109.4104
48.55108,105.2701
48.56122,100.8598
48.57135,101.0504
48.58148,94.3567
48.59162,102.7842
48.60175,95.42641
48.61188,100.9776
48.62202,97.53114
48.63215,98.21257
48.64228,101.5982
48.65242,103.1704
48.66255,96.7795
48.67268,99.07149
48.68282,97.20325
48.69295,97.93951
48.7031,98.56848
48.71323,94.56441
48.72337,96.1723
48.7335,95.82205
48.74363,98.30818
48.75377,98.33449
48.7639,97.93323
48.77403,98.25029
48.78417,100.2793
48.7943,103.8668
48.80443,103.919
48.81457,111.2247
48.8247,112.6676
48.83483,109.1245
48.84497,110.5664
48.8551,110.738
48.86523,109.7632
48.87537,106.6866
48.8855,105.2527
48.89563,106.4346
48.90577,105.8726
48.91592,114.418
48.92605,125.5836
48.93618,146.4898
48.94632,179.2915
48.95645,215.3602
48.96658,256.1884
48.97672,280.7729
48.98685,308.5752
48.99698,306.204
49.00712,288.7314
49.01725,273.0829
49.02738,257.7359
49.03752,219.8961
49.04765,199.3804
49.05778,189.8351
49.06792,181.9117
49.07805,179.807
49.08818,200.4478
49.09832,216.046
49.10845,265.4857
49.11858,288.5779
49.12873,319.6753
49.13887,333.0831
49.149,334.4655
49.15913,306.2198
49.16927,267.7389
49.1794,234.7936
49.18953,191.2056
49.19967,167.8138
49.2098,142.4816
49.21993,125.5787
49.23007,120.2933
49.2402,108.9334
49.25033,106.1593
49.26047,109.9677
49.2706,107.5385
49.28073,111.3821
49.29087,114.4061
49.301,107.7389
49.31113,120.9835
49.32127,120.5237
49.3314,114.1768
49.34155,111.096
49.35168,105.6098
49.36182,108.69
